Название на русском,Название на киргизском,Прежние названия[источник не указан 862 дня],Статус города с[1],2009,2019[2],Статус,Ссылка
Айдаркен,Айдаркан,Хайдаркан,2012,10 331,11759,город районного подчинения,https://ru.wikipedia.org//wiki/%D0%A0%D1%83%D1%81%D1%81%D0%BA%D0%B8%D0%B9_%D1%8F%D0%B7%D1%8B%D0%BA
Балыкчы,Балыкчы,"до 1989 — Рыбачье, 1989—1993 — Иссык-Куль",1954,42 380,48622,город областного подчинения,https://ru.wikipedia.org//wiki/%D0%90%D0%B9%D0%B4%D0%B0%D1%80%D0%BA%D0%B5%D0%BD
Баткен,Баткен,,2000,13 435,18263,город областного подчинения,https://ru.wikipedia.org//wiki/%D0%91%D0%B0%D0%BB%D1%8B%D0%BA%D1%87%D1%8B
Бишкек,Бишкек,"до 1926 — Пишпек, 1926—1991 — Фрунзе",1878,821 915,1012500,город республиканского подчинения,https://ru.wikipedia.org//wiki/%D0%91%D0%B0%D1%82%D0%BA%D0%B5%D0%BD
Джалал-Абад,Жалал-Абад,Жалалабат,1877,89 004,109189,город областного подчинения,https://ru.wikipedia.org//wiki/%D0%91%D0%B8%D1%88%D0%BA%D0%B5%D0%BA
Исфана,Исфана,"Асбаникат, Аспаникент, Асбани, Аспана, Асвона, Исвона",2001,18 244,22139,город районного подчинения,https://ru.wikipedia.org//wiki/%D0%94%D0%B6%D0%B0%D0%BB%D0%B0%D0%BB-%D0%90%D0%B1%D0%B0%D0%B4
Кадамжай,Кадамжай,Фрунзе,2012,6732,7152,город районного подчинения,https://ru.wikipedia.org//wiki/%D0%98%D1%81%D1%84%D0%B0%D0%BD%D0%B0
Каинды,Кайыңды,Молотовск,2012,7526,9265,город районного подчинения,https://ru.wikipedia.org//wiki/%D0%9A%D0%B0%D0%B4%D0%B0%D0%BC%D0%B6%D0%B0%D0%B9
Кант,Кант,,1985,21 589,21985,город районного подчинения,https://ru.wikipedia.org//wiki/%D0%9A%D0%B0%D0%B8%D0%BD%D0%B4%D1%8B_(%D0%9A%D0%B8%D1%80%D0%B3%D0%B8%D0%B7%D0%B8%D1%8F)
Кара-Балта,Кара-Балта,"имени Микояна, Калининское",1975,37 834,46911,город районного подчинения,https://ru.wikipedia.org//wiki/%D0%9A%D0%B0%D0%BD%D1%82_(%D0%B3%D0%BE%D1%80%D0%BE%D0%B4)
Каракол,Каракол,"Каракольское укрепление, Караколь, 1889—1922 и 1939—1992 — Пржевальск",1869,63 377,76509,город областного подчинения,https://ru.wikipedia.org//wiki/%D0%9A%D0%B0%D1%80%D0%B0-%D0%91%D0%B0%D0%BB%D1%82%D0%B0
Кара-Куль,Кара-Көл,,1977,18 843,22050,город областного подчинения,https://ru.wikipedia.org//wiki/%D0%9A%D0%B0%D1%80%D0%B0%D0%BA%D0%BE%D0%BB
Кара-Суу,Кара-Суу,,1960,20 862,25469,город районного подчинения,https://ru.wikipedia.org//wiki/%D0%9A%D0%B0%D1%80%D0%B0-%D0%9A%D1%83%D0%BB%D1%8C
Кемин,Кемин,"Быстрорецкое, Быстровка",2012,8169,10095,город районного подчинения,https://ru.wikipedia.org//wiki/%D0%9A%D0%B0%D1%80%D0%B0-%D0%A1%D1%83%D1%83
Кербен,Кербен,до 2004 — Караван,2004,14 141,18196,город районного подчинения,https://ru.wikipedia.org//wiki/%D0%9A%D0%B5%D0%BC%D0%B8%D0%BD
Кок-Джангак,Кок-Жаңгак,Кок-Янгак,1943,10 451,11786,город районного подчинения,https://ru.wikipedia.org//wiki/%D0%9A%D0%B5%D1%80%D0%B1%D0%B5%D0%BD_(%D0%9A%D0%B8%D1%80%D0%B3%D0%B8%D0%B7%D0%B8%D1%8F)
